source,reaction,flux,required_by_n_species,completion_max_required_flux,metabolite,global_id,Metabolon ID,original_vmh_id,corrected_vmh_id,id_mapping_note,reaction_mapping_note,curation_class,curation_priority
basic_medium_component,EX_ca2_m,1000,336,2e-05,ca2,EX_ca2_m,,,,,,protect_basic_medium_component,95.0
basic_medium_component,EX_cl_m,1000,336,2e-05,cl,EX_cl_m,,,,,,protect_basic_medium_component,95.0
basic_medium_component,EX_cobalt2_m,1000,336,2e-05,cobalt2,EX_cobalt2_m,,,,,,protect_basic_medium_component,95.0
basic_medium_component,EX_cu2_m,1000,336,2e-05,cu2,EX_cu2_m,,,,,,protect_basic_medium_component,95.0
basic_medium_component,EX_k_m,1000,336,2e-05,k,EX_k_m,,,,,,protect_basic_medium_component,95.0
basic_medium_component,EX_mg2_m,1000,336,2e-05,mg2,EX_mg2_m,,,,,,protect_basic_medium_component,95.0
basic_medium_component,EX_mn2_m,1000,336,2e-05,mn2,EX_mn2_m,,,,,,protect_basic_medium_component,95.0
basic_medium_component,EX_zn2_m,1000,336,2e-05,zn2,EX_zn2_m,,,,,,protect_basic_medium_component,95.0
basic_medium_component,EX_so4_m,1000,324,0.000219429,so4,EX_so4_m,sulfate*,so4,so4,exact_vmh_id,standard_vmh_exchange_id,protect_basic_medium_component,95.0
basic_medium_component,EX_fe3_m,1000,279,2.69e-05,fe3,EX_fe3_m,,,,,,protect_basic_medium_component,95.0
basic_medium_component,EX_fe2_m,1000,218,2.38e-05,fe2,EX_fe2_m,,,,,,protect_basic_medium_component,95.0
basic_medium_component,EX_pi_m,1000,119,0.001561339,pi,EX_pi_m,phosphate,pi,pi,exact_vmh_id,standard_vmh_exchange_id,protect_basic_medium_component,95.0
basic_medium_component,EX_nh4_m,1000,7,0.032150662,nh4,EX_nh4_m,,,,,,protect_basic_medium_component,95.0
basic_medium_component,EX_h2o_m,1000,5,0.204659543,h2o,EX_h2o_m,,,,,,protect_basic_medium_component,95.0
basic_medium_component,EX_h_m,1000,5,0.101687401,h,EX_h_m,,,,,,protect_basic_medium_component,95.0
basic_medium_component,EX_co2_m,1000,2,0.013269544,co2,EX_co2_m,,,,,,protect_basic_medium_component,95.0
Kindschuh_2023_GVM,EX_spmd_m,1000,301,7.94e-06,spmd,EX_spmd_m,spermidine,spmd,spmd,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_arg_L_m,1000,230,0.013887677,arg_L,EX_arg_L_m,arginine,arg_L,arg_L,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_cgly_m,1000,217,0.000460501,cgly,EX_cgly_m,cysteinylglycine,cgly,cgly,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_pnto_R_m,1000,178,4e-05,pnto_R,EX_pnto_R_m,pantothenate (Vitamin B5),pnto_R,pnto_R,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_trp_L_m,1000,172,6.33e-05,trp_L,EX_trp_L_m,tryptophan,trp_L,trp_L,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_glyc3p_m,1000,156,0.008909192,glyc3p,EX_glyc3p_m,glycerol 3-phosphate,glyc3p,glyc3p,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_ile_L_m,1000,145,0.000436721,ile_L,EX_ile_L_m,isoleucine,ile_L,ile_L,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_val_L_m,1000,124,0.0004116,val_L,EX_val_L_m,valine,val_L,val_L,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
Kindschuh_2023_GVM,EX_glyleu_m,1000,115,0.21515153,glyleu,EX_glyleu_m,glycylleucine,glyleu,glyleu,exact_vmh_id,standard_vmh_exchange_id,literature_vaginal_medium,
